st_time,ed_time,fault_type,root_cause,filename
2023-03-23T11:01:10,2023-03-23T11:06:00,api-delay@api-delay,ts-verification-code-service-74447dff85-66dsg verifycode.controller.VerifyCodeController imageCode@ts-consign-service-97b57cdf6-j5rtj consign.controller.ConsignController findByOrderId,2023-03-23T11:01:10_2023-03-23T11:06:00
2023-03-23T11:15:58,2023-03-23T11:21:00,api-delay@api-delay,ts-rebook-service-7d69b45f79-65vxc rebook.controller.RebookController rebook@ts-preserve-other-service-58bb58c679-d5rmv preserveOther.controller.PreserveOtherController preserve,2023-03-23T11:15:58_2023-03-23T11:21:00
2023-03-23T11:31:00,2023-03-23T11:36:00,api-delay@api-delay,ts-cancel-service-646644ddf4-44hgk cancel.controller.CancelController calculate@ts-execute-service-74b9955ddc-dll6g execute.controller.ExecuteControlller executeTicket,2023-03-23T11:31:00_2023-03-23T11:36:00
2023-03-23T11:45:55,2023-03-23T11:51:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-config-service-7578bd9cf7-7rxkp mysql-insert@ts-train-food-service-9557b666c-m4zf4 mysql-select,2023-03-23T11:45:55_2023-03-23T11:51:00
2023-03-23T12:01:07,2023-03-23T12:06:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-travel-service-86bc99b94f-f7b6v mysql-select@ts-price-service-64bb4958f7-jm8dl mysql-delete,2023-03-23T12:01:07_2023-03-23T12:06:00
2023-03-23T12:15:04,2023-03-23T12:21:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-config-service-7578bd9cf7-7rxkp mysql-insert@ts-train-food-service-9557b666c-m4zf4 mysql-select,2023-03-23T12:15:04_2023-03-23T12:21:00
2023-03-23T12:30:02,2023-03-23T12:36:00,pod-http-request-delay@pod-http-request-delay,ts-verification-code-service-74447dff85-66dsg@ts-contacts-service-7586d57c67-8tx6q,2023-03-23T12:30:02_2023-03-23T12:36:00
2023-03-23T12:45:01,2023-03-23T12:51:00,pod-http-request-delay@pod-http-request-delay,ts-consign-price-service-c5f7dc849-vjdlh@ts-train-food-service-9557b666c-sq8gz,2023-03-23T12:45:01_2023-03-23T12:51:00
2023-03-23T13:00:01,2023-03-23T13:06:00,pod-http-request-delay@pod-http-request-delay,ts-price-service-64bb4958f7-stqch@ts-route-plan-service-7bc6d9959f-zqv7z,2023-03-23T13:00:01_2023-03-23T13:06:00
2023-03-23T21:01:01,2023-03-23T21:06:00,pod-typed-mysql-delay@api-delay,ts-consign-service-97b57cdf6-r9ldk mysql-update@ts-assurance-service-67584bc8ff-2prpc assurance.controller.AssuranceController getAllAssuranceType,2023-03-23T21:01:01_2023-03-23T21:06:00
2023-03-23T21:16:01,2023-03-23T21:21:00,pod-typed-mysql-delay@api-delay,ts-train-food-service-9557b666c-hhzqk mysql-select@ts-config-service-7578bd9cf7-c7bgk config.controller.ConfigController retrieve,2023-03-23T21:16:01_2023-03-23T21:21:00
2023-03-23T21:31:04,2023-03-23T21:36:00,api-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-r9ldk consign.controller.ConsignController findByOrderId@ts-price-service-64bb4958f7-65n8x mysql-delete,2023-03-23T21:31:04_2023-03-23T21:36:00
2023-03-23T21:46:02,2023-03-23T21:51:00,pod-http-request-delay@api-delay,ts-verification-code-service-74447dff85-bsxpg@ts-cancel-service-646644ddf4-pr9vr cancel.controller.CancelController cancelTicket,2023-03-23T21:46:02_2023-03-23T21:51:00
2023-03-23T22:00:44,2023-03-23T22:06:00,pod-http-request-delay@api-delay,ts-travel2-service-686c895647-9mnlq@ts-admin-basic-info-service-595db5b9cf-9g286 adminbasic.controller.AdminBasicInfoController getAllPrices,2023-03-23T22:00:44_2023-03-23T22:06:00
2023-03-23T22:15:42,2023-03-23T22:21:00,pod-http-request-delay@api-delay,ts-price-service-64bb4958f7-tk42h@ts-rebook-service-7d69b45f79-b28pq rebook.controller.RebookController payDifference,2023-03-23T22:15:42_2023-03-23T22:21:00
2023-03-23T22:31:17,2023-03-23T22:36:00,pod-http-request-delay@pod-typed-mysql-delay,ts-train-food-service-9557b666c-zd8lj@ts-station-service-666c97f68d-5dstg mysql-insert,2023-03-23T22:31:17_2023-03-23T22:36:00
2023-03-23T22:45:03,2023-03-23T22:51:00,pod-http-request-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-znqzx@ts-price-service-64bb4958f7-65n8x mysql-update,2023-03-23T22:45:03_2023-03-23T22:51:00
2023-03-23T23:01:00,2023-03-23T23:06:00,pod-http-request-delay@pod-typed-mysql-delay,ts-route-plan-service-7bc6d9959f-dhbwg@ts-security-service-677c5578f7-2jnls mysql-select,2023-03-23T23:01:00_2023-03-23T23:06:00
